name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
1145,eGon2035,65412,51387,central_heat_store_discharger,0.03612189557075396,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03612189557075396,DE,inf,False,,,0.0,,,1.0,1.0
1146,eGon2035,65416,51391,central_heat_store_discharger,3.308648271699536,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,3.308648271699536,DE,inf,False,,,0.0,,,1.0,1.0
1147,eGon2035,65428,51403,central_heat_store_discharger,4.912992451361104,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,4.912992451361104,DE,inf,False,,,0.0,,,1.0,1.0
1148,eGon2035,65430,51405,central_heat_store_discharger,0.040646301930974696,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.040646301930974696,DE,inf,False,,,0.0,,,1.0,1.0
1149,eGon2035,65436,51411,central_heat_store_discharger,0.03440734243454015,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03440734243454015,DE,inf,False,,,0.0,,,1.0,1.0
1150,eGon2035,65440,51415,central_heat_store_discharger,0.03846324911916261,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03846324911916261,DE,inf,False,,,0.0,,,1.0,1.0
1151,eGon2035,65476,51451,central_heat_store_discharger,0.05184542687108631,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.05184542687108631,DE,inf,False,,,0.0,,,1.0,1.0
1152,eGon2035,65486,51461,central_heat_store_discharger,0.03504035369572867,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03504035369572867,DE,inf,False,,,0.0,,,1.0,1.0
1153,eGon2035,65488,51463,central_heat_store_discharger,0.03953440465075303,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.03953440465075303,DE,inf,False,,,0.0,,,1.0,1.0
1154,eGon2035,65519,51494,central_heat_store_discharger,0.0176023618686836,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0176023618686836,DE,inf,False,,,0.0,,,1.0,1.0
1155,eGon2035,65527,51502,central_heat_store_discharger,0.01751891831199694,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.01751891831199694,DE,inf,False,,,0.0,,,1.0,1.0
