name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,start_up_cost,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
10 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,123.69387731501473,0.0,1.0000000000000002,42.10651129961453,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,123.69387731501473,123.69387731501473
10 load shedding,,4,load shedding,14028030.0,0.0,1.0,10000.007611133984,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,14028030.0,14028030.0
10 others,eGon2035,4,others,1.7244140071686354,0.0,1.0,0.00993510928232404,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1.7244140071686354,1.7244140071686354
10 reservoir,eGon2035,4,reservoir,1.343410913332041,0.0,0.65,0.0049362953471035285,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1.343410913332041,1.343410913332041
10 run_of_river,eGon2035,4,run_of_river,4.766249161338268,0.0,0.6499999999999999,0.008210326996312755,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,4.766249161338268,4.766249161338268
10 solar,eGon2035,4,solar,102.40709164904473,0.0,1.0,0.018685026831913927,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,102.40709164904473,102.40709164904473
10 solar_rooftop,eGon2035,4,solar_rooftop,1442.4096685060872,0.0,1.0,0.018767897825060408,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1442.4096685060872,1442.4096685060872
10 wind_onshore,eGon2035,4,wind_onshore,637.9014493762143,0.0,0.9999999999999999,1.3097696272734498,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,637.9014493762143,637.9014493762143
11 biomass,eGon2035,4,biomass,4.9046417695983235,0.0,1.0,42.10974945908384,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,4.9046417695983235,4.9046417695983235
11 central_biomass_CHP,eGon2035,4,central_biomass_CHP,15.18918230120932,0.0,0.9999999999999999,42.106911096044,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,15.18918230120932,15.18918230120932
11 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,25.982588708957685,0.0,1.0,42.1077378181388,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,25.982588708957685,25.982588708957685
11 load shedding,,4,load shedding,7280370.0,0.0,1.0,10000.009152713874,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,7280370.0,7280370.0
11 others,eGon2035,4,others,0.22466684714903393,0.0,1.0,0.0016618705277980355,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,0.22466684714903393,0.22466684714903393
11 run_of_river,eGon2035,4,run_of_river,16.562064950300602,0.0,0.65,0.006486846650913261,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,16.562064950300602,16.562064950300602
